Date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Rainfall,Water_Need_1day,Water_Need_2days,Water_Need_3days
6-Feb,16.881913918089555,36.41985859034051,53.989061753421474,6.107191093120048,11.724852200730036,26.57178434799379,0.4,9.312452425604663,8.299077910859626,0.0,32.68075726700401,32.09500100969502,31.24658150437289
7-Feb,17.035217752641177,36.567767252456,53.26497726315401,5.70518209332965,11.81048225419994,26.564951450759324,0.4,9.158431559860029,8.336910641136447,0.0,33.28467579246531,34.42849478185673,33.89946331239823
8-Feb,16.93963829381479,36.58048622054596,55.15672987457115,6.204857817676324,11.823731278374703,26.462548133819194,0.4,9.039351445337312,8.338465082214833,0.0,33.179702337423045,32.219574435365665,35.45172517055128
9-Feb,17.024009484151254,36.5819920174874,55.10291118335581,5.816910943409513,11.830347347509795,26.701999283965286,0.4,8.989146074192883,8.324076799082215,0.0,32.52584670190354,33.24943151109998,35.878221400602705
10-Feb,17.01670595889766,36.57643134095244,56.40427455731905,5.926203594588657,11.815555280788555,26.87272220330243,0.4,8.935819059217582,8.336633410330558,0.0,33.08837881845522,33.53511137132849,30.70289965631552
11-Feb,17.014152266307857,36.57689157627892,56.40808223956334,5.797840015907177,11.816111170491329,26.900033620656014,0.4,8.917018767335371,8.335058579133701,0.0,33.68741136884417,36.09653115243544,34.46374727564039
12-Feb,17.021469770450768,36.57664304194206,55.45639916750015,5.7540723945672445,11.815936000696455,26.868050876223904,0.4,8.954902443241352,8.335326844634581,0.0,33.625445093971855,34.98224732097056,35.75619631548867
13-Feb,17.05038875133888,36.57633094983547,53.650085919376274,5.754910156843926,11.813757003501342,26.91339709114489,0.4,9.129951620371921,8.335890967467584,0.0,32.81862793103354,34.78849189883653,31.90711774530298
14-Feb,16.98202613783132,36.47163855521975,53.37952889362242,5.747587818254406,11.94410521816782,26.81969888810829,0.4,9.383207545373134,8.283594090123193,0.0,32.354673631538844,34.16229183065439,34.56202795185612
15-Feb,17.001357300451964,36.49757552880042,53.223223144589674,6.146815187523962,11.774255484942834,26.613373536805668,0.4,9.538253106228243,8.127534329915926,0.0,31.441908549111215,32.27681474843077,37.36727248019178
16-Feb,17.01391201256465,36.577197119924605,55.033424183842484,5.852836335626415,11.812921380186102,26.923191622906494,0.4,9.102511685558483,8.335295648546708,0.0,33.53706986256207,34.689610377000854,31.96069524273408
17-Feb,16.948661087783233,36.73380488874535,54.213231442122265,5.868042592862233,11.882438316793149,26.812957545862787,0.4,9.169908422858922,8.317774971716597,0.0,32.93421984838171,34.55315548342678,33.112168682687965
18-Feb,16.0,37.1,59.9,9.4,12.0,24.8,0.4,9.74,8.334254258664954,0.0,33.106656431704295,28.736029802952235,11.97678127367432
19-Feb,16.5,34.0,64.0,7.6,10.4,22.6,0.4,7.58,3.032,0.0,12.128,12.128,12.128
20-Feb,16.4,36.2,55.0,9.0,11.4,24.1,0.4,9.75,3.9,0.0,15.6,0.0,0.0
21-Feb,16.4,36.2,55.0,9.0,11.4,24.1,0.4,9.79,3.92,0.0,15.664000000000001,31.264,0.0
22-Feb,19.1,38.7,31.0,7.0,11.4,23.9,0.4,11.93,4.77,0.0,19.088,0.0,50.352
23-Feb,15.9,39.4,36.0,5.6,13.0,26.2,0.4,10.66,4.26,0.0,17.055999999999997,36.144,0.0
24-Feb,18.3,38.0,15.0,7.4,11.4,24.0,0.4,13.51,5.4,0.0,21.616,0.0,0.0
25-Feb,17.9,34.9,13.0,7.7,10.2,22.3,0.4,12.91,5.16,0.0,20.656,42.272,59.328
26-Feb,15.7,35.5,13.0,10.0,11.4,24.1,0.8,14.66,11.73,0.0,46.912,0.0,0.0
27-Feb,17.3,33.7,13.0,6.0,9.9,21.9,0.8,11.01,8.81,0.0,35.232,82.14399999999999,0.0
28-Feb,15.7,31.4,14.0,6.1,9.6,21.4,0.8,10.35,8.28,0.0,33.12,0.0,115.264
1-Mar,17.9,34.9,13.0,5.8,10.2,22.3,0.8,11.16,8.93,0.0,35.711999999999996,68.832,0.0
2-Mar,17.2,31.2,10.0,6.2,9.0,22.4,0.8,11.05,8.84,0.0,35.36,0.0,0.0
3-Mar,13.9,33.8,28.0,4.7,11.9,26.7,0.8,9.27,7.42,0.0,29.664,65.024,100.736
4-Mar,11.2,36.5,39.0,4.8,14.1,30.1,0.8,9.61,7.69,0.0,30.752,0.0,0.0
5-Mar,11.7,37.7,47.0,4.8,14.4,30.5,0.8,9.5,7.6,0.0,30.4,61.152,0.0
6-Mar,11.7,39.2,52.0,4.8,15.0,31.3,0.8,9.7,7.76,0.0,31.04,0.0,92.19200000000001
7-Mar,14.9,38.5,61.0,4.8,13.5,29.0,0.8,8.65,6.92,0.0,27.68,58.72,0.0
8-Mar,15.1,37.0,63.0,4.8,12.7,28.0,0.8,8.03,6.42,0.0,25.695999999999998,0.0,0.0
9-Mar,15.9,34.8,50.0,4.8,11.4,26.0,0.8,8.17,6.54,0.0,26.144000000000002,51.84,79.52
10-Mar,15.0,35.7,60.0,4.9,12.2,27.2,0.8,7.89,6.31,0.0,25.248,0.0,0.0
11-Mar,15.0,35.7,60.0,4.9,12.2,27.2,0.8,7.89,6.31,0.0,25.248,50.496,0.0
12-Mar,20.8,36.9,32.0,4.9,10.1,24.0,0.8,9.86,7.89,0.0,31.552,0.0,82.04799999999999
13-Mar,19.5,37.8,15.0,6.4,11.1,25.6,0.8,12.88,10.3,0.0,41.216,72.768,0.0
14-Mar,23.3,38.3,9.0,6.4,9.5,23.2,0.8,13.61,10.89,0.0,43.552,0.0,0.0
15-Mar,18.6,38.2,20.0,6.4,11.7,26.5,0.8,12.6,10.08,0.0,40.32,83.87200000000001,125.088
16-Mar,16.5,40.8,17.0,5.0,13.7,29.5,0.8,12.1,9.68,0.0,38.72,0.0,0.0
17-Mar,13.3,43.8,55.0,5.0,16.1,33.0,0.8,11.11,8.89,0.0,35.552,74.27199999999999,0.0
18-Mar,13.6,43.7,55.0,5.0,15.9,32.8,0.8,11.04,8.83,0.0,35.328,0.0,109.6
19-Mar,13.1,41.6,37.0,5.0,15.4,31.9,0.8,11.4,9.12,0.0,36.48,71.808,0.0
20-Mar,17.7,41.2,67.0,5.1,13.4,29.0,0.8,9.0,7.2,0.0,28.8,0.0,0.0
21-Mar,17.1,38.7,68.0,5.1,12.6,27.8,0.8,8.16,6.53,0.0,26.112,54.912,91.39200000000001
22-Mar,19.1,29.8,79.0,5.1,7.2,19.6,0.8,4.57,3.66,0.0,14.624,0.0,0.0
23-Mar,17.4,29.2,81.0,5.1,7.8,20.6,0.8,4.44,3.55,0.0,14.208,28.831999999999997,0.0
24-Mar,16.4,30.2,76.0,5.1,8.9,22.3,0.8,5.16,4.13,0.0,16.512,0.0,45.343999999999994
25-Mar,17.00825552881849,36.57688289503038,51.819994520736486,5.841028695011438,11.815111031242198,26.813887473565416,0.8451846045663123,9.064698675463756,8.334705316647582,0.000182699179276824,33.105496321309275,31.165268162213227,36.135810833658134
26-Mar,17.034617082931916,36.576712114940065,51.86118460290324,5.786024949889455,11.814233096572414,26.81719332268374,0.8582804157168933,9.012438383375345,8.334807500723231,-1.3039680197834969e-05,33.23074599814092,34.93721429770709,31.606610489392047
27-Mar,17.100464499663854,36.541380473613444,52.19815705999143,5.573816521077012,11.750785451346617,26.83796790999733,0.7679305776662624,9.048595137989247,8.154605552358289,0.003088444471359253,28.08068348177364,-13.896051020506775,18.97530859691691
28-Mar,17.017569123328652,36.57672436712436,53.925171971136734,5.850991095864979,11.814964052321919,26.78726363856538,0.85163651136874,9.021147548393712,8.334954969223196,-0.00010125176049768925,33.25266491188123,35.70987051682433,33.84166298485597
29-Mar,17.147852362101705,36.69639421580316,51.180285568147106,5.361707648469645,11.810833201968453,27.094948928413174,0.748402485148584,9.009780589112598,8.161179390024756,0.0017460216768085957,29.655445877826082,5.905826647879053,30.61288811506671
30-Mar,17.5,33.5,68.0,6.7,10.0,23.9,0.8,7.02,5.62,0.0,22.464000000000002,0.0,22.464000000000002
31-Mar,17.1,30.2,73.0,6.7,8.5,21.7,0.8,5.62,4.5,0.0,17.984,40.448,0.0
1-Apr,16.0,33.6,68.0,6.8,10.8,25.1,0.8,7.21,5.77,0.0,23.072,0.0,0.0
2-Apr,17.4,36.8,63.0,6.8,12.1,28.1,1.15,8.85,10.18,0.0,40.71,63.782,81.766
3-Apr,18.2,33.7,62.0,5.3,9.8,23.6,1.15,6.99,8.04,0.0,32.154,0.0,0.0
4-Apr,18.1,31.5,71.0,6.8,9.1,23.4,1.15,5.96,6.85,0.0,27.416,59.57,0.0
5-Apr,18.4,31.5,68.0,5.4,8.9,23.1,1.15,6.19,7.12,0.0,28.474,0.0,88.044
6-Apr,17.1,34.6,67.0,6.8,10.8,25.0,1.15,7.52,8.65,0.0,34.592,63.066,0.0
7-Apr,17.7,36.7,57.0,5.4,11.9,27.8,1.15,8.75,10.06,0.0,40.25,0.0,0.0
8-Apr,17.9,37.3,83.0,5.4,12.1,28.1,1.15,6.87,7.9,0.0,31.601999999999997,71.852,106.444
9-Apr,18.6,39.7,43.0,5.4,12.9,29.4,1.15,10.68,12.28,0.0,49.128,0.0,0.0
10-Apr,18.9,40.3,40.0,5.4,13.0,29.5,1.15,11.07,12.73,0.0,50.922,100.05,0.0
11-Apr,18.5,39.0,53.0,5.4,12.6,28.9,1.15,9.68,11.13,0.0,44.528,0.0,144.578
12-Apr,17.6,37.9,60.0,5.4,12.5,28.8,1.15,8.86,10.19,0.0,40.756,85.28399999999999,0.0
13-Apr,16.3,36.9,66.0,5.5,12.7,29.0,1.15,8.3,9.55,0.0,38.18,0.0,0.0
14-Apr,16.0,39.5,59.0,5.5,14.0,31.0,1.15,9.7,11.16,0.0,44.62,82.8,123.556
15-Apr,11.9,41.3,66.0,5.5,16.3,34.6,1.15,10.31,11.86,0.0,47.426,0.0,0.0
16-Apr,16.0,40.7,69.0,5.5,14.4,31.7,1.15,9.36,10.76,0.0,43.056000000000004,90.48200000000001,0.0
17-Apr,16.8,37.6,74.0,5.5,12.8,29.1,1.15,7.79,8.96,0.0,35.834,0.0,126.316
18-Apr,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.12,7.04,0.0,28.151999999999997,63.986000000000004,0.0
19-Apr,16.898174207933618,36.78883337892106,55.01338575762512,6.033427279962515,11.932804262132967,27.147497861070015,0.7490307605337541,8.72401816627437,8.595222815059065,-0.004968516528606415,63.00600622263836,144.15067968317572,2.1108174281276213
20-Apr,17.223882544539226,36.7869926330916,56.32396223540284,6.008227543174307,11.705159057445114,26.847848148145992,0.7940050683100979,8.749922177637833,8.530751069380297,-0.007940318435430527,79.12980127307533,205.47461550401863,-21.587957609226606
21-Apr,17.012539367783074,36.57673593165046,54.3010470051926,5.81653383152058,11.816927600400199,26.72194221227282,0.8787993230937164,9.032122810759299,8.334901959448825,3.9293430745601654e-05,33.2538626265048,38.12638317231695,32.64302654595256
22-Apr,17.012217122736494,36.57651022267918,55.117656820658226,5.854366109924535,11.816800802282405,26.746676376182478,0.8680161350047537,8.919478002922679,8.334893821536062,0.0006177714094519615,33.55706776954519,30.839826572394266,31.451398295846307
23-Apr,17.008322241653715,36.57696557807584,53.63047324896134,5.807951812674896,11.818831021063595,26.677306407529688,0.8736701069030112,8.897274903060111,8.334957759688548,-7.4105337262153625e-06,33.44189477490703,37.21629008386358,29.59072467078325
24-Apr,16.3,34.1,78.0,5.5,11.4,27.0,1.15,6.41,7.37,0.0,29.486,54.693999999999996,0.0
25-Apr,16.6,41.1,59.0,5.5,14.4,31.6,1.15,10.21,11.74,0.0,46.966,0.0,0.0
26-Apr,18.5,41.7,53.0,5.5,13.8,30.7,1.15,10.68,12.28,0.0,49.128,96.094,125.58
27-Apr,21.8,35.0,53.0,5.5,8.9,23.2,1.15,8.21,9.44,0.0,37.766,0.0,0.0
28-Apr,20.1,44.8,50.0,5.5,14.5,31.7,1.15,11.9,13.69,0.0,54.74,92.506,0.0
29-Apr,20.0,40.9,58.0,5.5,12.8,29.2,1.15,9.85,11.33,0.0,45.31,0.0,137.816
30-Apr,18.8,38.0,59.0,5.5,12.0,28.0,1.15,8.91,10.25,0.0,40.986000000000004,86.296,0.0
1-May,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.13,7.05,0.0,28.198,0.0,0.0
2-May,17.2,29.4,80.0,5.5,8.7,22.8,1.15,4.95,5.69,0.0,22.77,50.968,91.954
3-May,17.2,29.8,78.0,5.5,8.9,23.1,1.15,5.2,5.98,0.0,23.92,0.0,0.0
4-May,16.2,30.7,79.0,5.5,10.0,24.9,1.15,5.49,6.31,0.0,25.254,49.174,0.0
5-May,17.6,34.8,77.0,5.5,11.5,27.1,1.15,6.73,7.74,0.0,30.958000000000002,0.0,80.132
6-May,17.9,38.0,69.0,5.5,12.9,29.3,1.15,8.4,9.66,0.0,38.64,69.598,0.0
7-May,19.2,43.1,62.0,5.5,14.7,31.9,1.15,10.66,12.26,0.0,49.036,0.0,0.0
8-May,19.2,45.6,53.0,5.5,15.7,33.5,1.15,12.3,14.15,0.0,56.58,105.616,144.256
9-May,21.3,45.2,53.0,5.5,14.6,31.9,1.15,11.95,13.74,0.0,54.97,0.0,0.0
